arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
KTI,2026-02-26,00:35,9C7321,Spring Airlines,4h 35m,"1750 miles, 2816 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-26,02:35,K6593,Air Cambodia,3h 40m,"1400 miles, 2253 km",Airbus A320,181,,Meal (none specific)
KTI,2026-02-26,04:45,KR930,Cambodia Airways,2h 45m,"980 miles, 1577 km",Airbus A319,150,,Meal (none specific)
KTI,2026-02-26,05:40,KR938,Cambodia Airways,2h 50m,"1003 miles, 1614 km",Airbus A319,150,,Meal (none specific)
KTI,2026-02-26,06:50,K6611,Air Cambodia,2h 50m,"1003 miles, 1614 km",Airbus A320,181,,Meal (none specific)
KTI,2026-02-26,07:10,K6619,Air Cambodia,2h 50m,"1003 miles, 1614 km",Airbus A321,184,,Meal (none specific)
KTI,2026-02-26,08:00,9C7007,Spring Airlines,3h 5m,"1003 miles, 1614 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-26,08:25,FD608,Thai AirAsia,1h 15m,"341 miles, 549 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-26,08:35,SQ154,Singapore Airlines,1h 55m,"697 miles, 1121 km",Boeing 737MAX 8 Passenger,154,AI 8242 /LH 9758 /LX 9084 /NH 6288 /NZ 3478 /VA 5474,Meal (none specific)
KTI,2026-02-26,08:45,TG586,Thai Airways,1h 20m,"325 miles, 523 km",Airbus A320,156,TK 8012,Meal (none specific)
KTI,2026-02-26,09:25,K6813,Air Cambodia,0h 55m,"124 miles, 200 km",ATR 72,70,VN 3853,Meal (none specific)
KTI,2026-02-26,09:45,VZ720,Vietjet Thailand,1h 15m,"325 miles, 523 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-26,09:50,MH754,Malaysia Airlines,1h 50m,"638 miles, 1027 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,BA 8179 /FY 7458 /KL 3853 /QR 5394,Meal (none specific)
KTI,2026-02-26,09:55,KT164,Mahogany Air,2h 0m,"638 miles, 1027 km",Airbus A320,159,,Meal (none specific)
KTI,2026-02-26,10:10,K6102,Air Cambodia,0h 50m,"147 miles, 237 km",ATR 72,70,,Meal (none specific)
KTI,2026-02-26,10:25,CX607,Cathay Pacific,2h 45m,"966 miles, 1554 km",Airbus A321neo,202,AY 5131,Meal (none specific)
KTI,2026-02-26,10:45,ZH155,Shenzhen Airlines,2h 35m,"980 miles, 1577 km",Boeing 737-800 Passenger,164,CA 7985,Meal (none specific)
KTI,2026-02-26,10:50,CZ8313,China Southern,2h 45m,"1003 miles, 1614 km",Airbus A320,158,,Meal (none specific)
KTI,2026-02-26,11:25,BR265,EVA Air,3h 40m,"1434 miles, 2307 km",Airbus A330-300,309,,Meal (none specific)
KTI,2026-02-26,11:35,MU9609,China Eastern,3h 5m,"963 miles, 1549 km",Boeing 737-500 (winglets) Passenger,168,,Meal (none specific)
KTI,2026-02-26,11:40,K6723,Air Cambodia,1h 5m,"325 miles, 523 km",Airbus A321,184,,Meal (none specific)
KTI,2026-02-26,11:45,MF8645,XiamenAir,3h 15m,"1263 miles, 2032 km",Boeing 737-800 Passenger,172,CZ 1805,Meal (none specific)
KTI,2026-02-26,12:40,K6855,Air Cambodia,1h 55m,"687 miles, 1105 km",Airbus A320,181,,Meal (none specific)
KTI,2026-02-26,12:50,KR702,Cambodia Airways,1h 15m,"325 miles, 523 km",Airbus A319,150,,Meal (none specific)
KTI,2026-02-26,13:00,VN921,Vietnam Airlines,1h 25m,"486 miles, 782 km",Airbus A321,184,K6 3921,Meal (none specific)
KTI,2026-02-26,13:45,SQ156,Singapore Airlines,2h 0m,"697 miles, 1121 km",Boeing 737MAX 8 Passenger,154,AC 5868 /AI 8244 /NZ 3482 /VA 5476,Meal (none specific)
KTI,2026-02-26,14:00,K6817,Air Cambodia,1h 0m,"124 miles, 200 km",ATR 72,70,VN 3855,Meal (none specific)
KTI,2026-02-26,14:05,KR508,Cambodia Airways,2h 35m,"966 miles, 1554 km",Airbus A320,165,,Meal (none specific)
