date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,entertainment,meals,uid,airline_source,page_date_verified,scraped_at
18/3/2026,Wednesday,PKX,arrival,06:35,SQ810,Singapore Airlines,6h 5m,00:30 - 06:35,"2764 miles, 4447 km",Airbus A350-900,259,,,Meal (none specific),260318_SQ810_00300635,text,True,2026-02-15T15:01:58.546034
18/3/2026,Wednesday,PKX,arrival,06:50,CZ5068,China Southern,5h 0m,23:50 - 06:50,"2180 miles, 3508 km",Airbus A321neo,198,,,Meal (none specific),260318_CZ5068_23500650,text,True,2026-02-15T15:01:58.912856
18/3/2026,Wednesday,PKX,arrival,06:55,CZ5098,China Southern,4h 40m,23:15 - 06:55,"2048 miles, 3295 km",Airbus A321neo,198,,,Meal (none specific),260318_CZ5098_23150655,text,True,2026-02-15T15:01:59.269384
18/3/2026,Wednesday,PKX,arrival,06:55,MU2072,China Eastern,4h 50m,01:05 - 06:55,"2034 miles, 3273 km",Airbus A320neo,158,,,Meal (none specific),260318_MU2072_01050655,text,True,2026-02-15T15:01:59.618237
18/3/2026,Wednesday,PKX,arrival,07:00,MH318,Malaysia Airlines,6h 10m,00:50 - 07:00,"2717 miles, 4372 km",Airbus A330-300,290,CZ 704 /MF 9101,,Meal (none specific),260318_MH318_00500700,text,True,2026-02-15T15:01:59.985313
18/3/2026,Wednesday,PKX,arrival,07:10,MU5032,China Eastern,6h 15m,00:55 - 07:10,"2764 miles, 4447 km",Airbus A320neo,158,GA 9159,,Meal (none specific),260318_MU5032_00550710,text,True,2026-02-15T15:02:00.346172
18/3/2026,Wednesday,PKX,arrival,07:30,CZ6028,China Southern,5h 40m,22:50 - 07:30,"2466 miles, 3968 km",Airbus A321neo,198,,,Meal (none specific),260318_CZ6028_22500730,text,True,2026-02-15T15:02:00.727276
18/3/2026,Wednesday,PKX,arrival,07:30,MU796,China Eastern,6h 10m,01:20 - 07:30,"2717 miles, 4372 km",Airbus A320neo,158,,,Meal (none specific),260318_MU796_01200730,text,True,2026-02-15T15:02:01.092108
18/3/2026,Wednesday,PKX,arrival,07:45,CZ342,China Southern,7h 45m,19:00 - 07:45,"3642 miles, 5860 km",Airbus A330-300,283,,,Meal (none specific),260318_CZ342_19000745,text,True,2026-02-15T15:02:01.461024
18/3/2026,Wednesday,PKX,arrival,07:50,S76241,S7 Airlines,2h 55m,06:55 - 07:50,"861 miles, 1385 km",Boeing 737-800 (winglets) Passenger/BBJ2,176,,,Meal (none specific),260318_S76241_06550750,text,True,2026-02-15T15:02:01.810529
18/3/2026,Wednesday,PKX,arrival,08:30,MU2123,China Eastern,2h 0m,06:30 - 08:30,"552 miles, 888 km",Airbus A321,177,KN 6391 /MF 3018,,Meal (none specific),260318_MU2123_06300830,text,True,2026-02-15T15:02:02.170224
