arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
BKI,2026-02-13,20:55,OD1683,Batik Air,1h 35m,"502 miles, 808 km",Boeing 737-800 Passenger,167,,Meal (none specific)
BKI,2026-02-13,21:05,AK6271,AirAsia,0h 50m,"182 miles, 293 km",Airbus A320neo,186,,Meal (none specific)
BKI,2026-02-13,21:05,MY3048,MAXjet,0h 35m,"71 miles, 114 km",ATR 72,68,,Meal (none specific)
BKI,2026-02-13,21:25,AK5118,AirAsia,2h 40m,"1017 miles, 1636 km",Airbus A320neo,186,,Meal (none specific)
BKI,2026-02-13,21:55,AK6354,AirAsia,1h 25m,"502 miles, 808 km",Airbus A320 (sharklets),180,,Meal (none specific)
BKI,2026-02-13,22:00,AK6485,AirAsia,0h 50m,"138 miles, 222 km",Airbus A320 (sharklets),180,,Meal (none specific)
BKI,2026-02-13,22:05,MH2638,Malaysia Airlines,2h 40m,"1017 miles, 1636 km",Boeing 737MAX 8 Passenger,174,6E 3766 /8M 9573 /FY 7656 /HY 7517 /JL 7173 /KL 4082 /PR 3572 /QF 5168 /QR 5454 /TK 4818,Meal (none specific)
BKI,2026-02-13,22:15,AK5130,AirAsia,2h 40m,"1017 miles, 1636 km",Airbus A320 (sharklets),180,,Meal (none specific)
BKI,2026-02-13,22:15,OD1006,Batik Air,2h 30m,"1017 miles, 1636 km",Boeing 737-800 Passenger,167,EK 3444 /TK 4582 /EY 5603,Meal (none specific)
BKI,2026-02-13,22:30,AK6358,AirAsia,1h 30m,"502 miles, 808 km",Airbus A320,180,,Meal (none specific)
BKI,2026-02-13,22:50,AK1511,AirAsia,3h 35m,"1373 miles, 2209 km",Airbus A320neo,186,,Meal (none specific)
BKI,2026-02-13,22:50,MH2606,Malaysia Airlines,2h 40m,"1017 miles, 1636 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,6E 3767 /8M 9569 /BA 8157 /FY 7642 /HY 7585 /JL 7955 /KL 4090 /QR 5435 /TK 4857,Meal (none specific)
BKI,2026-02-13,22:55,AK5324,AirAsia,2h 50m,"1091 miles, 1755 km",Airbus A320neo,186,,Meal (none specific)
BKI,2026-02-13,23:00,AK5124,AirAsia,2h 30m,"1017 miles, 1636 km",Airbus A320,180,,Meal (none specific)
BKI,2026-02-13,23:05,TW153,T´Way Air,5h 35m,"2286 miles, 3678 km",Boeing 737-800 Passenger,189,H1 5998,Meal (none specific)
BKI,2026-02-13,23:20,AK5310,AirAsia,2h 20m,"908 miles, 1461 km",Airbus A320neo,186,,Meal (none specific)
BKI,2026-02-13,23:40,MH2628,Malaysia Airlines,2h 40m,"1017 miles, 1636 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,6E 3768 /8M 9572 /BA 8159 /FY 7654 /HY 7525 /QR 5447 /TK 4847,Meal (none specific)
