arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
PVG,2026-02-15,11:15,MU5328,China Eastern,Duration: 2h 25m,"751 miles, 1208 km",Airbus A330-200,234,HO 5331 /MF 3698 /SV 6920 /EY 5724,Meal (none specific)
PVG,2026-02-15,11:25,8L9611,Lucky Air,Duration: 3h 20m,"1446 miles, 2327 km",Airbus A320neo,180,,Meal (none specific)
PVG,2026-02-15,11:25,CZ8211,China Southern,Duration: 2h 25m,"751 miles, 1208 km",Airbus A321,188,,Meal (none specific)
PVG,2026-02-15,11:25,HX236,Hong Kong Airlines,Duration: 2h 25m,"784 miles, 1261 km",Airbus A320,164,HU 8492,Meal (none specific)
PVG,2026-02-15,11:30,CA4575,Air China,Duration: 2h 15m,"912 miles, 1467 km",Boeing 737-800 Passenger,167,NZ 3725 /SC 5480 /UA 7522 /ZH 4595,Meal (none specific)
PVG,2026-02-15,11:35,9C8598,Spring Airlines,Duration: 5h 5m,"2377 miles, 3825 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,11:35,CX316,Cathay Pacific,Duration: 2h 45m,"784 miles, 1261 km",Airbus A350-1000,334,,Meal (none specific)
PVG,2026-02-15,11:40,MU724,China Eastern,Duration: 2h 20m,"784 miles, 1261 km",Airbus A320,158,FM 3028,Meal (none specific)
PVG,2026-02-15,11:45,3U8963,Sichuan Airlines,Duration: 2h 45m,"1063 miles, 1710 km",Airbus A321,194,CZ 9225 /EU 7411 /HO 5928 /MF 5649 /MU 3555,Meal (none specific)
PVG,2026-02-15,11:45,CZ6505,China Southern,Duration: 2h 35m,"734 miles, 1181 km",Airbus A321,188,,Meal (none specific)
PVG,2026-02-15,11:45,FM9142,Shanghai Airlines,Duration: 2h 0m,"611 miles, 983 km",Boeing 737 Mixed Configuration,76,MU 8354,Meal (none specific)
PVG,2026-02-15,11:45,PN6373,West Air (China),Duration: 2h 25m,"912 miles, 1467 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,11:50,9C8570,Spring Airlines,Duration: 1h 40m,"321 miles, 516 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,11:50,MU260,China Eastern,Duration: 9h 45m,"4458 miles, 7173 km",Airbus A330-200,234,,Meal (none specific)
PVG,2026-02-15,11:50,MU6732,China Eastern,Duration: 2h 0m,"682 miles, 1097 km",Airbus A320,158,HO 5545 /MF 2244 /EY 5755,Meal (none specific)
PVG,2026-02-15,11:55,OZ363,Asiana,Duration: 2h 5m,"513 miles, 825 km",Boeing 777-200 / 200ER,301,HO 3111,Meal (none specific)
PVG,2026-02-15,12:00,9C8844,Spring Airlines,Duration: 2h 0m,"543 miles, 874 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,12:00,CZ6533,China Southern,Duration: 2h 0m,"543 miles, 874 km",Airbus A321,188,,Meal (none specific)
PVG,2026-02-15,12:00,FM9078,Shanghai Airlines,Duration: 3h 10m,"917 miles, 1475 km",Boeing 737-500 (winglets) Passenger,166,MU 8308,Meal (none specific)
PVG,2026-02-15,12:00,HU7845,Hainan Airlines,Duration: 2h 30m,"794 miles, 1278 km",Boeing 737-800 Passenger,179,HX 1155,Meal (none specific)
PVG,2026-02-15,12:00,MU270,China Eastern,Duration: 9h 50m,"4535 miles, 7297 km",Airbus A330-200,234,SV 6841,Meal (none specific)
