date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,entertainment,meals,uid,airline_source,page_date_verified,scraped_at
18/2/2026,Wednesday,CAN,arrival,23:30,CZ3266,China Southern,Duration: 2h 15m,21:15 - 23:30,"691 miles, 1112 km",Airbus A320,158,,,Meal (none specific),260218_CZ3266_21152330,text,True,2026-02-15T09:01:58.222062
18/2/2026,Wednesday,CAN,arrival,23:30,CZ3294,China Southern,Duration: 2h 5m,21:25 - 23:30,"679 miles, 1093 km",Airbus A321neo,198,,,Meal (none specific),260218_CZ3294_21252330,text,True,2026-02-15T09:01:58.476725
18/2/2026,Wednesday,CAN,arrival,23:30,CZ5466,China Southern,Duration: 3h 40m,19:50 - 23:30,"1085 miles, 1746 km",Airbus A321,188,,,Meal (none specific),260218_CZ5466_19502330,text,True,2026-02-15T09:01:58.737893
18/2/2026,Wednesday,CAN,arrival,23:35,9C7396,Spring Airlines,Duration: 3h 30m,20:05 - 23:35,"1080 miles, 1738 km",Airbus A320,180,,,Meal (none specific),260218_9C7396_20052335,text,True,2026-02-15T09:01:58.967968
18/2/2026,Wednesday,CAN,arrival,23:35,CZ3810,China Southern,Duration: 2h 20m,21:15 - 23:35,"567 miles, 912 km",Airbus A320,158,,,Meal (none specific),260218_CZ3810_21152335,text,True,2026-02-15T09:01:59.204505
18/2/2026,Wednesday,CAN,arrival,23:35,OQ2106,Chongqing Airlines,Duration: 2h 20m,21:15 - 23:35,"806 miles, 1297 km",Airbus A320,175,,,Meal (none specific),260218_OQ2106_21152335,text,True,2026-02-15T09:01:59.529109
18/2/2026,Wednesday,CAN,arrival,23:35,ZH9994,Shenzhen Airlines,Duration: 3h 30m,20:05 - 23:35,"990 miles, 1593 km",Airbus A320,162,CA 3802 /SC 9676,,Meal (none specific),260218_ZH9994_20052335,text,True,2026-02-15T09:01:59.773854
18/2/2026,Wednesday,CAN,arrival,23:35,ZH9832,Shenzhen Airlines,Duration: 2h 35m,21:00 - 23:35,"713 miles, 1147 km",Boeing 737-800 Passenger,164,CA 3378 /HO 5247 /SC 9572,,Meal (none specific),260218_ZH9832_21002335,text,True,2026-02-15T09:02:00.026242
18/2/2026,Wednesday,CAN,arrival,23:40,CZ3395,China Southern,Duration: 2h 30m,21:10 - 23:40,"792 miles, 1274 km",Boeing 737-800 Passenger,172,,,Meal (none specific),260218_CZ3395_21102340,text,True,2026-02-15T09:02:00.286938
18/2/2026,Wednesday,CAN,arrival,23:45,AQ1112,9 Air,Duration: 1h 45m,22:00 - 23:45,"434 miles, 698 km",Boeing 737-800 Passenger,167,,,Meal (none specific),260218_AQ1112_22002345,text,True,2026-02-15T09:02:00.520217
18/2/2026,Wednesday,CAN,arrival,23:45,CZ8020,China Southern,Duration: 2h 50m,19:55 - 23:45,"1066 miles, 1715 km",Airbus A320neo,166,3U 7008,,Meal (none specific),260218_CZ8020_19552345,text,True,2026-02-15T09:02:00.774404
18/2/2026,Wednesday,CAN,arrival,23:45,CZ3178,China Southern,Duration: 3h 15m,20:30 - 23:45,"1134 miles, 1825 km",Boeing 777-300ER,361,,,Meal (none specific),260218_CZ3178_20302345,text,True,2026-02-15T09:02:01.020555
18/2/2026,Wednesday,CAN,arrival,23:45,ZH9984,Shenzhen Airlines,Duration: 2h 20m,21:25 - 23:45,"648 miles, 1043 km",Airbus A320,162,CA 3384 /HO 5123 /SC 9670,,Meal (none specific),260218_ZH9984_21252345,text,True,2026-02-15T09:02:01.286729
18/2/2026,Wednesday,CAN,arrival,23:50,CZ3248,China Southern,Duration: 1h 45m,22:05 - 23:50,"408 miles, 656 km",Airbus A320,158,,,Meal (none specific),260218_CZ3248_22052350,text,True,2026-02-15T09:02:01.517955
18/2/2026,Wednesday,CAN,arrival,23:50,CZ6377,China Southern,Duration: 4h 55m,18:55 - 23:50,"1596 miles, 2568 km",Airbus A320neo,166,,,Meal (none specific),260218_CZ6377_18552350,text,True,2026-02-15T09:02:01.761587
18/2/2026,Wednesday,CAN,arrival,23:50,CZ3952,China Southern,Duration: 2h 55m,20:55 - 23:50,"998 miles, 1606 km",Airbus A321neo,198,,,Meal (none specific),260218_CZ3952_20552350,text,True,2026-02-15T09:02:02.010225
18/2/2026,Wednesday,CAN,arrival,23:50,CZ3204,China Southern,Duration: 2h 50m,21:00 - 23:50,"815 miles, 1311 km",Airbus A321neo,198,,,Meal (none specific),260218_CZ3204_21002350,text,True,2026-02-15T09:02:02.246320
18/2/2026,Wednesday,CAN,arrival,23:50,HU7250,Hainan Airlines,Duration: 2h 50m,21:00 - 23:50,"998 miles, 1606 km",Boeing 737-800 Passenger,179,,,Meal (none specific),260218_HU7250_21002350,text,True,2026-02-15T09:02:02.483086
18/2/2026,Wednesday,CAN,arrival,23:50,ZH9696,Shenzhen Airlines,Duration: 4h 20m,19:30 - 23:50,"1596 miles, 2568 km",Airbus A320,162,CA 3836 /SC 9504,,Meal (none specific),260218_ZH9696_19302350,text,True,2026-02-15T09:02:02.714245
18/2/2026,Wednesday,CAN,arrival,23:55,CZ6486,China Southern,Duration: 3h 55m,20:00 - 23:55,"1186 miles, 1908 km",Airbus A320,158,,,Meal (none specific),260218_CZ6486_20002355,text,True,2026-02-15T09:02:02.964435
18/2/2026,Wednesday,CAN,arrival,23:55,CZ6887,China Southern,Duration: 5h 10m,18:45 - 23:55,"2048 miles, 3295 km",Boeing 737MAX 8 Passenger,175,,,Meal (none specific),260218_CZ6887_18452355,text,True,2026-02-15T09:02:03.221996
18/2/2026,Wednesday,CAN,arrival,23:55,HU7288,Hainan Airlines,Duration: 2h 40m,21:15 - 23:55,"792 miles, 1274 km",Airbus A320neo,169,,,Meal (none specific),260218_HU7288_21152355,text,True,2026-02-15T09:02:03.458572
18/2/2026,Wednesday,CAN,arrival,23:55,HU7815,Hainan Airlines,Duration: 3h 25m,20:30 - 23:55,"1175 miles, 1891 km",Boeing 787-9,290,,,Meal (none specific),260218_HU7815_20302355,text,True,2026-02-15T09:02:03.713452
18/2/2026,Wednesday,CAN,arrival,23:55,ZH9876,Shenzhen Airlines,Duration: 2h 30m,21:25 - 23:55,"673 miles, 1083 km",Boeing 737-800 Passenger,164,CA 3754 /HO 5205 /SC 9606,,Meal (none specific),260218_ZH9876_21252355,text,True,2026-02-15T09:02:03.956758
