date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,entertainment,meals,uid,airline_source,page_date_verified,scraped_at
20/3/2026,Friday,MYY,arrival,08:00,AK6180,AirAsia,1h 0m,07:00 - 08:00,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260320_AK6180_07000800,text,True,2026-02-15T14:25:39.637424
20/3/2026,Friday,MYY,arrival,08:05,AK6071,AirAsia,0h 50m,07:15 - 08:05,"181 miles, 291 km",Airbus A320 (sharklets),180,,,Meal (none specific),260320_AK6071_07150805,text,True,2026-02-15T14:25:39.954835
20/3/2026,Friday,MYY,arrival,08:25,MY3221,MAXjet,0h 45m,07:40 - 08:25,"110 miles, 177 km",ATR 72,68,,,Meal (none specific),260320_MY3221_07400825,text,True,2026-02-15T14:25:40.295008
20/3/2026,Friday,MYY,arrival,08:55,AK5651,AirAsia,2h 25m,06:30 - 08:55,"858 miles, 1381 km",Airbus A320,180,,,Meal (none specific),260320_AK5651_06300855,text,True,2026-02-15T14:25:40.675250
20/3/2026,Friday,MYY,arrival,09:10,AK5012,AirAsia,Duration: 2h 0m,07:10 - 09:10,"739 miles, 1189 km",Airbus A320,180,,,Meal (none specific),260320_AK5012_07100910,text,True,2026-02-15T14:25:41.774509
20/3/2026,Friday,MYY,arrival,09:25,MY3652,MAXjet,Duration: 1h 0m,08:25 - 09:25,"199 miles, 320 km",ATR 72,68,,,Meal (none specific),260320_MY3652_08250925,text,True,2026-02-15T14:25:42.117079
20/3/2026,Friday,MYY,arrival,10:45,AK6077,AirAsia,Duration: 0h 50m,09:55 - 10:45,"181 miles, 291 km",Airbus A320 (sharklets),180,,,Meal (none specific),260320_AK6077_09551045,text,True,2026-02-15T14:25:43.061858
20/3/2026,Friday,MYY,arrival,11:05,AK6190,AirAsia,Duration: 1h 5m,10:00 - 11:05,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260320_AK6190_10001105,text,True,2026-02-15T14:25:43.390282
20/3/2026,Friday,MYY,arrival,11:10,MY3654,MAXjet,Duration: 1h 0m,10:10 - 11:10,"199 miles, 320 km",ATR 72,68,,,Meal (none specific),260320_MY3654_10101110,text,True,2026-02-15T14:25:43.695011
20/3/2026,Friday,MYY,arrival,11:25,MY3471,MAXjet,Duration: 0h 35m,10:50 - 11:25,"78 miles, 126 km",ATR 72,68,,,Meal (none specific),260320_MY3471_10501125,text,True,2026-02-15T14:25:44.740115
20/3/2026,Friday,MYY,arrival,11:25,MH2574,Malaysia Airlines,Duration: 2h 25m,09:00 - 11:25,"858 miles, 1381 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,FY 7570 /JL 7195 /PR 3556 /QR 5426 /SQ 5666 /TK 4821 /WY 5658,,Meal (none specific),260320_MH2574_09001125,text,True,2026-02-15T14:25:45.095788
20/3/2026,Friday,MYY,arrival,12:05,MY3631,MAXjet,Duration: 0h 30m,11:35 - 12:05,"59 miles, 95 km",ATR 72,68,,,Meal (none specific),260320_MY3631_11351205,text,True,2026-02-15T14:25:45.469933
20/3/2026,Friday,MYY,arrival,12:15,AK5642,AirAsia,Duration: 2h 20m,09:55 - 12:15,"858 miles, 1381 km",Airbus A320,180,,,Meal (none specific),260320_AK5642_09551215,text,True,2026-02-15T14:25:46.470122
20/3/2026,Friday,MYY,arrival,12:30,AK6192,AirAsia,Duration: 1h 0m,11:30 - 12:30,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260320_AK6192_11301230,text,True,2026-02-15T14:25:47.457886
20/3/2026,Friday,MYY,arrival,12:35,MY3225,MAXjet,Duration: 0h 45m,11:50 - 12:35,"110 miles, 177 km",ATR 72,68,,,Meal (none specific),260320_MY3225_11501235,text,True,2026-02-15T14:25:47.840499
20/3/2026,Friday,MYY,arrival,14:35,MY3633,MAXjet,Duration: 0h 30m,14:05 - 14:35,"59 miles, 95 km",ATR 72,68,,,Meal (none specific),260320_MY3633_14051435,text,True,2026-02-15T14:25:50.217055
20/3/2026,Friday,MYY,arrival,14:45,AK6186,AirAsia,Duration: 1h 5m,13:40 - 14:45,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260320_AK6186_13401445,text,True,2026-02-15T14:25:51.212487
20/3/2026,Friday,MYY,arrival,15:30,AK5644,AirAsia,Duration: 2h 20m,13:10 - 15:30,"858 miles, 1381 km",Airbus A320,180,,,Meal (none specific),260320_AK5644_13101530,text,True,2026-02-15T14:25:52.230774
20/3/2026,Friday,MYY,arrival,15:40,AK6073,AirAsia,Duration: 0h 50m,14:50 - 15:40,"181 miles, 291 km",Airbus A320 (sharklets),180,,,Meal (none specific),260320_AK6073_14501540,text,True,2026-02-15T14:25:52.636199
20/3/2026,Friday,MYY,arrival,15:50,MY3223,MAXjet,Duration: 0h 45m,15:05 - 15:50,"110 miles, 177 km",ATR 72,68,,,Meal (none specific),260320_MY3223_15051550,text,True,2026-02-15T14:25:53.027027
20/3/2026,Friday,MYY,arrival,16:05,AK6182,AirAsia,Duration: 1h 0m,15:05 - 16:05,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260320_AK6182_15051605,text,True,2026-02-15T14:25:53.449214
20/3/2026,Friday,MYY,arrival,16:35,MY3473,MAXjet,Duration: 0h 35m,16:00 - 16:35,"78 miles, 126 km",ATR 72,68,,,Meal (none specific),260320_MY3473_16001635,text,True,2026-02-15T14:25:53.840006
20/3/2026,Friday,MYY,arrival,16:45,MH2594,Malaysia Airlines,Duration: 2h 25m,14:20 - 16:45,"858 miles, 1381 km",Boeing 737-800 Passenger,172,FY 7576 /GA 8926 /PR 3532 /QR 5431 /TK 4854,,Meal (none specific),260320_MH2594_14201645,text,True,2026-02-15T14:25:54.868903
20/3/2026,Friday,MYY,arrival,17:10,OD1650,Batik Air,Duration: 2h 25m,14:45 - 17:10,"858 miles, 1381 km",Boeing 737-800 Passenger,167,,,Meal (none specific),260320_OD1650_14451710,text,True,2026-02-15T14:25:55.290077
20/3/2026,Friday,MYY,arrival,17:15,MY3475,MAXjet,Duration: 0h 35m,16:40 - 17:15,"78 miles, 126 km",ATR 72,68,,,Meal (none specific),260320_MY3475_16401715,text,True,2026-02-15T14:25:55.666976
20/3/2026,Friday,MYY,arrival,17:55,MY3229,MAXjet,Duration: 0h 45m,17:10 - 17:55,"110 miles, 177 km",ATR 72,68,,,Meal (none specific),260320_MY3229_17101755,text,True,2026-02-15T14:25:56.744935
20/3/2026,Friday,MYY,arrival,18:20,AK6075,AirAsia,Duration: 0h 50m,17:30 - 18:20,"181 miles, 291 km",Airbus A320 (sharklets),180,,,Meal (none specific),260320_AK6075_17301820,text,True,2026-02-15T14:25:57.760874
20/3/2026,Friday,MYY,arrival,18:55,AK6184,AirAsia,Duration: 1h 0m,17:55 - 18:55,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260320_AK6184_17551855,text,True,2026-02-15T14:25:58.089242
20/3/2026,Friday,MYY,arrival,19:00,MY3227,MAXjet,Duration: 0h 45m,18:15 - 19:00,"110 miles, 177 km",ATR 72,68,,,Meal (none specific),260320_MY3227_18151900,text,True,2026-02-15T14:25:58.399096
20/3/2026,Friday,MYY,arrival,19:30,AK6188,AirAsia,Duration: 1h 0m,18:30 - 19:30,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260320_AK6188_18301930,text,True,2026-02-15T14:25:58.712943
20/3/2026,Friday,MYY,arrival,19:40,AK5646,AirAsia,Duration: 2h 20m,17:20 - 19:40,"858 miles, 1381 km",Airbus A320,180,,,Meal (none specific),260320_AK5646_17201940,text,True,2026-02-15T14:25:59.041629
20/3/2026,Friday,MYY,arrival,19:50,MH2584,Malaysia Airlines,Duration: 2h 35m,17:15 - 19:50,"858 miles, 1381 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,FY 7572 /GA 9315 /KL 3854 /PR 3530 /QR 5428,,Meal (none specific),260320_MH2584_17151950,text,True,2026-02-15T14:25:59.399990
20/3/2026,Friday,MYY,arrival,19:50,MY3446,MAXjet,Duration: 0h 40m,19:10 - 19:50,"106 miles, 171 km",ATR 72,68,,,Meal (none specific),260320_MY3446_19101950,text,True,2026-02-15T14:25:59.775694
20/3/2026,Friday,MYY,arrival,20:05,MY3656,MAXjet,Duration: 1h 0m,19:05 - 20:05,"199 miles, 320 km",ATR 72,68,,,Meal (none specific),260320_MY3656_19052005,text,True,2026-02-15T14:26:00.165155
20/3/2026,Friday,MYY,arrival,22:10,AK5648,AirAsia,Duration: 2h 20m,19:50 - 22:10,"858 miles, 1381 km",Airbus A320,180,,,Meal (none specific),260320_AK5648_19502210,text,True,2026-02-15T14:26:00.488946
20/3/2026,Friday,MYY,arrival,22:35,MY3658,MAXjet,Duration: 1h 0m,21:35 - 22:35,"199 miles, 320 km",ATR 72,68,,,Meal (none specific),260320_MY3658_21352235,text,True,2026-02-15T14:26:00.801957
20/3/2026,Friday,MYY,arrival,09:50,MY3513,MAXjet,0h 45m,,,,,,,,,no have detail,True,2026-02-15T14:26:01.104644
20/3/2026,Friday,MYY,arrival,18:20,MY3519,MAXjet,0h 45m,,,,,,,,,no have detail,True,2026-02-15T14:26:01.320830
20/3/2026,Friday,MYY,arrival,12:20,MY3577,MAXjet,0h 20m,,,,,,,,,no have detail,True,2026-02-15T14:26:01.421803
20/3/2026,Friday,MYY,arrival,09:00,MY3511,MAXjet,0h 45m,,,,,,,,,no have detail,True,2026-02-15T14:26:01.498950
20/3/2026,Friday,MYY,arrival,15:20,MY3552,MAXjet,1h 10m,,,,,,,,,no have detail,True,2026-02-15T14:26:01.659925
20/3/2026,Friday,MYY,arrival,16:40,MY3515,MAXjet,0h 45m,,,,,,,,,no have detail,True,2026-02-15T14:26:01.880056
20/3/2026,Friday,MYY,arrival,12:10,MY3437,MAXjet,0h 50m,,,,,,,,,no have detail,True,2026-02-15T14:26:02.037580
20/3/2026,Friday,MYY,arrival,14:30,MY3611,MAXjet,0h 20m,,,,,,,,,no have detail,True,2026-02-15T14:26:02.198116
20/3/2026,Friday,MYY,arrival,11:20,MY3593,MAXjet,0h 55m,,,,,,,,,no have detail,True,2026-02-15T14:26:02.299527
