date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,meals,uid,airline_source,page_date_verified,scraped_at
16/2/2026,Monday,MYY,arrival,08:00,AK6180,AirAsia,1h 0m,07:00 - 08:00,"320 miles, 515 km",Airbus A320,180,,Meal (none specific),260216_AK6180_07000800,text,True,2026-02-14T16:23:30.192939
16/2/2026,Monday,MYY,arrival,08:05,AK6071,AirAsia,0h 50m,07:15 - 08:05,"181 miles, 291 km",Airbus A320 (sharklets),180,,Meal (none specific),260216_AK6071_07150805,text,True,2026-02-14T16:23:30.452584
16/2/2026,Monday,MYY,arrival,08:25,MY3221,MAXjet,Duration: 0h 45m,07:40 - 08:25,"110 miles, 177 km",ATR 72,68,,Meal (none specific),260216_MY3221_07400825,text,True,2026-02-14T16:23:34.979348
16/2/2026,Monday,MYY,arrival,08:55,AK5651,AirAsia,Duration: 2h 25m,06:30 - 08:55,"858 miles, 1381 km",Airbus A320,180,,Meal (none specific),260216_AK5651_06300855,text,True,2026-02-14T16:23:35.248626
16/2/2026,Monday,MYY,arrival,09:10,AK5012,AirAsia,Duration: 2h 0m,07:10 - 09:10,"739 miles, 1189 km",Airbus A320,180,,Meal (none specific),260216_AK5012_07100910,text,True,2026-02-14T16:23:39.759078
16/2/2026,Monday,MYY,arrival,09:25,MY3652,MAXjet,Duration: 1h 0m,08:25 - 09:25,"199 miles, 320 km",ATR 72,68,,Meal (none specific),260216_MY3652_08250925,text,True,2026-02-14T16:23:40.023128
16/2/2026,Monday,MYY,arrival,10:45,AK6077,AirAsia,Duration: 0h 50m,09:55 - 10:45,"181 miles, 291 km",Airbus A320 (sharklets),180,,Meal (none specific),260216_AK6077_09551045,text,True,2026-02-14T16:23:44.474857
16/2/2026,Monday,MYY,arrival,11:05,AK6190,AirAsia,Duration: 1h 5m,10:00 - 11:05,"320 miles, 515 km",Airbus A320,180,,Meal (none specific),260216_AK6190_10001105,text,True,2026-02-14T16:23:44.678944
16/2/2026,Monday,MYY,arrival,11:10,MY3654,MAXjet,Duration: 1h 0m,10:10 - 11:10,"199 miles, 320 km",ATR 72,68,,Meal (none specific),260216_MY3654_10101110,text,True,2026-02-14T16:23:44.883795
16/2/2026,Monday,MYY,arrival,11:25,MY3471,MAXjet,Duration: 0h 35m,10:50 - 11:25,"78 miles, 126 km",ATR 72,68,,Meal (none specific),260216_MY3471_10501125,text,True,2026-02-14T16:23:49.383249
16/2/2026,Monday,MYY,arrival,11:25,MH2574,Malaysia Airlines,Duration: 2h 25m,09:00 - 11:25,"858 miles, 1381 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,FY 7570 /JL 7195 /PR 3556 /QR 5426 /SQ 5666 /TK 4821 /WY 5658,Meal (none specific),260216_MH2574_09001125,text,True,2026-02-14T16:23:49.601695
16/2/2026,Monday,MYY,arrival,12:05,MY3631,MAXjet,Duration: 0h 30m,11:35 - 12:05,"59 miles, 95 km",ATR 72,68,,Meal (none specific),260216_MY3631_11351205,text,True,2026-02-14T16:23:49.816993
16/2/2026,Monday,MYY,arrival,12:15,AK5642,AirAsia,Duration: 2h 20m,09:55 - 12:15,"858 miles, 1381 km",Airbus A320,180,,Meal (none specific),260216_AK5642_09551215,text,True,2026-02-14T16:23:54.379209
16/2/2026,Monday,MYY,arrival,12:30,AK6192,AirAsia,Duration: 1h 0m,11:30 - 12:30,"320 miles, 515 km",Airbus A320,180,,Meal (none specific),260216_AK6192_11301230,text,True,2026-02-14T16:23:58.864959
16/2/2026,Monday,MYY,arrival,12:35,MY3225,MAXjet,Duration: 0h 45m,11:50 - 12:35,"110 miles, 177 km",ATR 72,68,,Meal (none specific),260216_MY3225_11501235,text,True,2026-02-14T16:23:59.084586
16/2/2026,Monday,MYY,arrival,14:35,MY3633,MAXjet,Duration: 0h 30m,14:05 - 14:35,"59 miles, 95 km",ATR 72,68,,Meal (none specific),260216_MY3633_14051435,text,True,2026-02-14T16:24:11.857377
16/2/2026,Monday,MYY,arrival,14:45,AK6186,AirAsia,Duration: 1h 5m,13:40 - 14:45,"320 miles, 515 km",Airbus A320,180,,Meal (none specific),260216_AK6186_13401445,text,True,2026-02-14T16:24:16.378872
16/2/2026,Monday,MYY,arrival,15:30,AK5644,AirAsia,Duration: 2h 20m,13:10 - 15:30,"858 miles, 1381 km",Airbus A320,180,,Meal (none specific),260216_AK5644_13101530,text,True,2026-02-14T16:24:20.841522
16/2/2026,Monday,MYY,arrival,15:40,AK6073,AirAsia,Duration: 0h 50m,14:50 - 15:40,"181 miles, 291 km",Airbus A320 (sharklets),180,,Meal (none specific),260216_AK6073_14501540,text,True,2026-02-14T16:24:21.056732
16/2/2026,Monday,MYY,arrival,15:50,MY3223,MAXjet,Duration: 0h 45m,15:05 - 15:50,"110 miles, 177 km",ATR 72,68,,Meal (none specific),260216_MY3223_15051550,text,True,2026-02-14T16:24:21.312640
16/2/2026,Monday,MYY,arrival,16:05,AK6182,AirAsia,Duration: 1h 0m,15:05 - 16:05,"320 miles, 515 km",Airbus A320,180,,Meal (none specific),260216_AK6182_15051605,text,True,2026-02-14T16:24:21.587655
16/2/2026,Monday,MYY,arrival,16:35,MY3473,MAXjet,Duration: 0h 35m,16:00 - 16:35,"78 miles, 126 km",ATR 72,68,,Meal (none specific),260216_MY3473_16001635,text,True,2026-02-14T16:24:21.815077
16/2/2026,Monday,MYY,arrival,16:45,MH2594,Malaysia Airlines,Duration: 2h 25m,14:20 - 16:45,"858 miles, 1381 km",Boeing 737-800 Passenger,172,FY 7576 /GA 8926 /PR 3532 /QR 5431 /TK 4854,Meal (none specific),260216_MH2594_14201645,text,True,2026-02-14T16:24:22.045605
16/2/2026,Monday,MYY,arrival,17:10,OD1650,Batik Air,Duration: 2h 25m,14:45 - 17:10,"858 miles, 1381 km",Boeing 737-800 Passenger,167,,Meal (none specific),260216_OD1650_14451710,text,True,2026-02-14T16:24:26.524714
16/2/2026,Monday,MYY,arrival,17:15,MY3475,MAXjet,Duration: 0h 35m,16:40 - 17:15,"78 miles, 126 km",ATR 72,68,,Meal (none specific),260216_MY3475_16401715,text,True,2026-02-14T16:24:26.771818
16/2/2026,Monday,MYY,arrival,18:20,AK6075,AirAsia,Duration: 0h 50m,17:30 - 18:20,"181 miles, 291 km",Airbus A320 (sharklets),180,,Meal (none specific),260216_AK6075_17301820,text,True,2026-02-14T16:24:31.250833
16/2/2026,Monday,MYY,arrival,18:55,AK6184,AirAsia,Duration: 1h 0m,17:55 - 18:55,"320 miles, 515 km",Airbus A320,180,,Meal (none specific),260216_AK6184_17551855,text,True,2026-02-14T16:24:31.451858
16/2/2026,Monday,MYY,arrival,19:00,MY3227,MAXjet,Duration: 0h 45m,18:15 - 19:00,"110 miles, 177 km",ATR 72,68,,Meal (none specific),260216_MY3227_18151900,text,True,2026-02-14T16:24:31.651867
16/2/2026,Monday,MYY,arrival,19:05,TR412,Scoot,Duration: 2h 10m,16:55 - 19:05,"723 miles, 1163 km",Embraer 190 E2,112,SQ 8512,Meal (none specific),260216_TR412_16551905,text,True,2026-02-14T16:24:31.868849
16/2/2026,Monday,MYY,arrival,19:30,AK6188,AirAsia,Duration: 1h 0m,18:30 - 19:30,"320 miles, 515 km",Airbus A320,180,,Meal (none specific),260216_AK6188_18301930,text,True,2026-02-14T16:24:32.076825
16/2/2026,Monday,MYY,arrival,19:40,AK5646,AirAsia,Duration: 2h 20m,17:20 - 19:40,"858 miles, 1381 km",Airbus A320,180,,Meal (none specific),260216_AK5646_17201940,text,True,2026-02-14T16:24:32.293118
16/2/2026,Monday,MYY,arrival,19:50,MY3446,MAXjet,Duration: 0h 40m,19:10 - 19:50,"106 miles, 171 km",ATR 72,68,,Meal (none specific),260216_MY3446_19101950,text,True,2026-02-14T16:24:32.535979
16/2/2026,Monday,MYY,arrival,19:50,MH2584,Malaysia Airlines,Duration: 2h 35m,17:15 - 19:50,"858 miles, 1381 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,FY 7572 /GA 9315 /KL 3854 /PR 3530 /QR 5428,Meal (none specific),260216_MH2584_17151950,text,True,2026-02-14T16:24:32.748697
16/2/2026,Monday,MYY,arrival,20:05,MY3656,MAXjet,Duration: 1h 0m,19:05 - 20:05,"199 miles, 320 km",ATR 72,68,,Meal (none specific),260216_MY3656_19052005,text,True,2026-02-14T16:24:32.961889
16/2/2026,Monday,MYY,arrival,22:10,AK5648,AirAsia,Duration: 2h 20m,19:50 - 22:10,"858 miles, 1381 km",Airbus A320 (sharklets),180,,Meal (none specific),260216_AK5648_19502210,text,True,2026-02-14T16:24:33.197029
16/2/2026,Monday,MYY,arrival,23:30,MH2598,Malaysia Airlines,Duration: 2h 25m,21:05 - 23:30,"858 miles, 1381 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,FY 7578 /GA 9313 /QR 5433 /TK 4815,Meal (none specific),260216_MH2598_21052330,text,True,2026-02-14T16:24:33.416016
