date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,meals,uid,airline_source,page_date_verified,scraped_at
17/2/2026,Tuesday,MYY,arrival,18:20,AK6075,AirAsia,Duration: 0h 50m,17:30 - 18:20,"181 miles, 291 km",Airbus A320neo,186,,Meal (none specific),260217_AK6075_17301820,text,True,2026-02-14T16:25:51.667743
17/2/2026,Tuesday,MYY,arrival,18:55,AK6184,AirAsia,Duration: 1h 0m,17:55 - 18:55,"320 miles, 515 km",Airbus A320,180,,Meal (none specific),260217_AK6184_17551855,text,True,2026-02-14T16:25:51.929988
17/2/2026,Tuesday,MYY,arrival,19:00,MY3227,MAXjet,Duration: 0h 45m,18:15 - 19:00,"110 miles, 177 km",ATR 72,68,,Meal (none specific),260217_MY3227_18151900,text,True,2026-02-14T16:25:52.234672
17/2/2026,Tuesday,MYY,arrival,19:05,TR412,Scoot,Duration: 2h 10m,16:55 - 19:05,"723 miles, 1163 km",Embraer 190 E2,112,SQ 8512,Meal (none specific),260217_TR412_16551905,text,True,2026-02-14T16:25:52.505926
17/2/2026,Tuesday,MYY,arrival,19:40,AK5646,AirAsia,Duration: 2h 20m,17:20 - 19:40,"858 miles, 1381 km",Airbus A320neo,186,,Meal (none specific),260217_AK5646_17201940,text,True,2026-02-14T16:25:52.721745
17/2/2026,Tuesday,MYY,arrival,19:50,MY3446,MAXjet,Duration: 0h 40m,19:10 - 19:50,"106 miles, 171 km",ATR 72,68,,Meal (none specific),260217_MY3446_19101950,text,True,2026-02-14T16:25:52.930099
17/2/2026,Tuesday,MYY,arrival,19:50,MH2584,Malaysia Airlines,Duration: 2h 35m,17:15 - 19:50,"858 miles, 1381 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,FY 7572 /GA 9315 /KL 3854 /PR 3530 /QR 5428,Meal (none specific),260217_MH2584_17151950,text,True,2026-02-14T16:25:53.209245
17/2/2026,Tuesday,MYY,arrival,20:05,MY3656,MAXjet,Duration: 1h 0m,19:05 - 20:05,"199 miles, 320 km",ATR 72,68,,Meal (none specific),260217_MY3656_19052005,text,True,2026-02-14T16:25:53.456048
17/2/2026,Tuesday,MYY,arrival,22:10,AK5648,AirAsia,Duration: 2h 20m,19:50 - 22:10,"858 miles, 1381 km",Airbus A320,180,,Meal (none specific),260217_AK5648_19502210,text,True,2026-02-14T16:25:53.667772
17/2/2026,Tuesday,MYY,arrival,22:35,MY3658,MAXjet,Duration: 1h 0m,21:35 - 22:35,"199 miles, 320 km",ATR 72,68,,Meal (none specific),260217_MY3658_21352235,text,True,2026-02-14T16:25:53.881833
