date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,entertainment,meals,uid,airline_source,page_date_verified,scraped_at
18/2/2026,Wednesday,MYY,arrival,08:00,AK6180,AirAsia,1h 0m,07:00 - 08:00,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260218_AK6180_07000800,text,True,2026-02-15T12:01:57.886426
18/2/2026,Wednesday,MYY,arrival,08:25,MY3221,MAXjet,0h 45m,07:40 - 08:25,"110 miles, 177 km",ATR 72,68,,,Meal (none specific),260218_MY3221_07400825,text,True,2026-02-15T12:01:58.320870
18/2/2026,Wednesday,MYY,arrival,08:55,AK5651,AirAsia,2h 25m,06:30 - 08:55,"858 miles, 1381 km",Airbus A320,180,,,Meal (none specific),260218_AK5651_06300855,text,True,2026-02-15T12:01:58.667163
18/2/2026,Wednesday,MYY,arrival,09:25,MY3652,MAXjet,Duration: 1h 0m,08:25 - 09:25,"199 miles, 320 km",ATR 72,68,,,Meal (none specific),260218_MY3652_08250925,text,True,2026-02-15T12:02:03.312282
18/2/2026,Wednesday,MYY,arrival,10:45,AK6077,AirAsia,Duration: 0h 50m,09:55 - 10:45,"181 miles, 291 km",Airbus A320 (sharklets),180,,,Meal (none specific),260218_AK6077_09551045,text,True,2026-02-15T12:02:03.707223
18/2/2026,Wednesday,MYY,arrival,11:05,AK6190,AirAsia,Duration: 1h 5m,10:00 - 11:05,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260218_AK6190_10001105,text,True,2026-02-15T12:02:04.167881
18/2/2026,Wednesday,MYY,arrival,11:10,MY3654,MAXjet,Duration: 1h 0m,10:10 - 11:10,"199 miles, 320 km",ATR 72,68,,,Meal (none specific),260218_MY3654_10101110,text,True,2026-02-15T12:02:08.767131
18/2/2026,Wednesday,MYY,arrival,11:25,MH2574,Malaysia Airlines,Duration: 2h 25m,09:00 - 11:25,"858 miles, 1381 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,FY 7570 /JL 7195 /PR 3556 /QR 5426 /SQ 5666 /TK 4821 /WY 5658,,Meal (none specific),260218_MH2574_09001125,text,True,2026-02-15T12:02:17.437709
18/2/2026,Wednesday,MYY,arrival,11:25,MY3471,MAXjet,Duration: 0h 35m,10:50 - 11:25,"78 miles, 126 km",ATR 72,68,,,Meal (none specific),260218_MY3471_10501125,text,True,2026-02-15T12:02:17.694820
18/2/2026,Wednesday,MYY,arrival,12:05,MY3631,MAXjet,Duration: 0h 30m,11:35 - 12:05,"59 miles, 95 km",ATR 72,68,,,Meal (none specific),260218_MY3631_11351205,text,True,2026-02-15T12:02:17.976763
18/2/2026,Wednesday,MYY,arrival,12:15,AK5642,AirAsia,Duration: 2h 20m,09:55 - 12:15,"858 miles, 1381 km",Airbus A320,180,,,Meal (none specific),260218_AK5642_09551215,text,True,2026-02-15T12:02:22.465124
18/2/2026,Wednesday,MYY,arrival,12:30,AK6192,AirAsia,Duration: 1h 0m,11:30 - 12:30,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260218_AK6192_11301230,text,True,2026-02-15T12:02:22.747061
18/2/2026,Wednesday,MYY,arrival,12:35,MY3225,MAXjet,Duration: 0h 45m,11:50 - 12:35,"110 miles, 177 km",ATR 72,68,,,Meal (none specific),260218_MY3225_11501235,text,True,2026-02-15T12:02:23.036074
18/2/2026,Wednesday,MYY,arrival,14:35,MY3633,MAXjet,Duration: 0h 30m,14:05 - 14:35,"59 miles, 95 km",ATR 72,68,,,Meal (none specific),260218_MY3633_14051435,text,True,2026-02-15T12:02:35.833231
18/2/2026,Wednesday,MYY,arrival,14:45,AK6186,AirAsia,Duration: 1h 5m,13:40 - 14:45,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260218_AK6186_13401445,text,True,2026-02-15T12:02:44.445948
18/2/2026,Wednesday,MYY,arrival,15:30,AK5644,AirAsia,Duration: 2h 20m,13:10 - 15:30,"858 miles, 1381 km",Airbus A320neo,186,,,Meal (none specific),260218_AK5644_13101530,text,True,2026-02-15T12:02:48.939353
18/2/2026,Wednesday,MYY,arrival,15:40,AK6073,AirAsia,Duration: 0h 50m,14:50 - 15:40,"181 miles, 291 km",Airbus A320 (sharklets),180,,,Meal (none specific),260218_AK6073_14501540,text,True,2026-02-15T12:02:53.418623
18/2/2026,Wednesday,MYY,arrival,15:50,MY3223,MAXjet,Duration: 0h 45m,15:05 - 15:50,"110 miles, 177 km",ATR 72,68,,,Meal (none specific),260218_MY3223_15051550,text,True,2026-02-15T12:02:53.681219
18/2/2026,Wednesday,MYY,arrival,16:05,AK6182,AirAsia,Duration: 1h 0m,15:05 - 16:05,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260218_AK6182_15051605,text,True,2026-02-15T12:02:53.999750
18/2/2026,Wednesday,MYY,arrival,16:25,TR412,Scoot,Duration: 2h 10m,14:15 - 16:25,"723 miles, 1163 km",Embraer 190 E2,112,SQ 8512,,Meal (none specific),260218_TR412_14151625,text,True,2026-02-15T12:02:54.285050
