date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,entertainment,meals,uid,airline_source,page_date_verified,scraped_at
19/3/2026,Thursday,MYY,arrival,08:00,AK6180,AirAsia,1h 0m,07:00 - 08:00,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260319_AK6180_07000800,text,True,2026-02-15T12:33:40.664376
19/3/2026,Thursday,MYY,arrival,08:25,MY3221,MAXjet,0h 45m,07:40 - 08:25,"110 miles, 177 km",ATR 72,68,,,Meal (none specific),260319_MY3221_07400825,text,True,2026-02-15T12:33:41.019146
19/3/2026,Thursday,MYY,arrival,08:55,AK5651,AirAsia,2h 25m,06:30 - 08:55,"858 miles, 1381 km",Airbus A320,180,,,Meal (none specific),260319_AK5651_06300855,text,True,2026-02-15T12:33:41.369704
19/3/2026,Thursday,MYY,arrival,09:25,MY3652,MAXjet,Duration: 1h 0m,08:25 - 09:25,"199 miles, 320 km",ATR 72,68,,,Meal (none specific),260319_MY3652_08250925,text,True,2026-02-15T12:33:46.001417
19/3/2026,Thursday,MYY,arrival,10:25,AK5653,AirAsia,Duration: 2h 25m,08:00 - 10:25,"858 miles, 1381 km",Airbus A320neo,186,,,Meal (none specific),260319_AK5653_08001025,text,True,2026-02-15T12:33:46.378915
19/3/2026,Thursday,MYY,arrival,10:45,AK6077,AirAsia,Duration: 0h 50m,09:55 - 10:45,"181 miles, 291 km",Airbus A320 (sharklets),180,,,Meal (none specific),260319_AK6077_09551045,text,True,2026-02-15T12:33:46.804959
19/3/2026,Thursday,MYY,arrival,11:05,AK6190,AirAsia,Duration: 1h 5m,10:00 - 11:05,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260319_AK6190_10001105,text,True,2026-02-15T12:33:47.155128
19/3/2026,Thursday,MYY,arrival,11:10,MY3654,MAXjet,Duration: 1h 0m,10:10 - 11:10,"199 miles, 320 km",ATR 72,68,,,Meal (none specific),260319_MY3654_10101110,text,True,2026-02-15T12:33:47.485213
19/3/2026,Thursday,MYY,arrival,11:25,MY3471,MAXjet,Duration: 0h 35m,10:50 - 11:25,"78 miles, 126 km",ATR 72,68,,,Meal (none specific),260319_MY3471_10501125,text,True,2026-02-15T12:33:52.013481
19/3/2026,Thursday,MYY,arrival,11:25,MH2574,Malaysia Airlines,Duration: 2h 25m,09:00 - 11:25,"858 miles, 1381 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,FY 7570 /JL 7195 /PR 3556 /QR 5426 /SQ 5666 /TK 4821 /WY 5658,,Meal (none specific),260319_MH2574_09001125,text,True,2026-02-15T12:33:52.398569
