date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,entertainment,meals,uid,airline_source,page_date_verified,scraped_at
18/3/2026,Wednesday,MYY,arrival,08:00,AK6180,AirAsia,1h 0m,07:00 - 08:00,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260318_AK6180_07000800,text,True,2026-02-15T14:24:43.473603
18/3/2026,Wednesday,MYY,arrival,08:25,MY3221,MAXjet,0h 45m,07:40 - 08:25,"110 miles, 177 km",ATR 72,68,,,Meal (none specific),260318_MY3221_07400825,text,True,2026-02-15T14:24:43.793054
18/3/2026,Wednesday,MYY,arrival,08:55,AK5651,AirAsia,2h 25m,06:30 - 08:55,"858 miles, 1381 km",Airbus A320,180,,,Meal (none specific),260318_AK5651_06300855,text,True,2026-02-15T14:24:44.138885
18/3/2026,Wednesday,MYY,arrival,09:10,AK5012,AirAsia,Duration: 2h 0m,07:10 - 09:10,"739 miles, 1189 km",Airbus A320,180,,,Meal (none specific),260318_AK5012_07100910,text,True,2026-02-15T14:24:45.131743
18/3/2026,Wednesday,MYY,arrival,09:25,MY3652,MAXjet,Duration: 1h 0m,08:25 - 09:25,"199 miles, 320 km",ATR 72,68,,,Meal (none specific),260318_MY3652_08250925,text,True,2026-02-15T14:24:45.527767
18/3/2026,Wednesday,MYY,arrival,10:45,AK6077,AirAsia,Duration: 0h 50m,09:55 - 10:45,"181 miles, 291 km",Airbus A320 (sharklets),180,,,Meal (none specific),260318_AK6077_09551045,text,True,2026-02-15T14:24:45.898011
18/3/2026,Wednesday,MYY,arrival,11:05,AK6190,AirAsia,Duration: 1h 5m,10:00 - 11:05,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260318_AK6190_10001105,text,True,2026-02-15T14:24:46.928626
18/3/2026,Wednesday,MYY,arrival,11:10,MY3654,MAXjet,Duration: 1h 0m,10:10 - 11:10,"199 miles, 320 km",ATR 72,68,,,Meal (none specific),260318_MY3654_10101110,text,True,2026-02-15T14:24:47.283983
18/3/2026,Wednesday,MYY,arrival,11:25,MY3471,MAXjet,Duration: 0h 35m,10:50 - 11:25,"78 miles, 126 km",ATR 72,68,,,Meal (none specific),260318_MY3471_10501125,text,True,2026-02-15T14:24:48.842781
18/3/2026,Wednesday,MYY,arrival,11:25,MH2574,Malaysia Airlines,Duration: 2h 25m,09:00 - 11:25,"858 miles, 1381 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,FY 7570 /JL 7195 /PR 3556 /QR 5426 /SQ 5666 /TK 4821 /WY 5658,,Meal (none specific),260318_MH2574_09001125,text,True,2026-02-15T14:24:49.174084
18/3/2026,Wednesday,MYY,arrival,12:05,MY3631,MAXjet,Duration: 0h 30m,11:35 - 12:05,"59 miles, 95 km",ATR 72,68,,,Meal (none specific),260318_MY3631_11351205,text,True,2026-02-15T14:24:49.496870
18/3/2026,Wednesday,MYY,arrival,12:15,AK5642,AirAsia,Duration: 2h 20m,09:55 - 12:15,"858 miles, 1381 km",Airbus A320,180,,,Meal (none specific),260318_AK5642_09551215,text,True,2026-02-15T14:24:50.528971
18/3/2026,Wednesday,MYY,arrival,12:30,AK6192,AirAsia,Duration: 1h 0m,11:30 - 12:30,"320 miles, 515 km",Airbus A320,180,,,Meal (none specific),260318_AK6192_11301230,text,True,2026-02-15T14:24:50.884957
