date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,meals,uid,airline_source,page_date_verified,scraped_at
15/3/2026,Sunday,BKK,arrival,10:45,LX180,SWISS,Duration: 10h 45m,18:00 - 10:45,"5657 miles, 9102 km",Boeing 777-300ER,320,TG 7103,Meal (none specific),260315_LX180_18001045,text,True,2026-02-14T16:11:56.458796
15/3/2026,Sunday,BKK,arrival,10:45,VJ801,VietJet,Duration: 1h 30m,09:15 - 10:45,"447 miles, 719 km",Airbus A320,180,A1 2801 /W2 4801 /H1 4014,Meal (none specific),260315_VJ801_09151045,text,True,2026-02-14T16:11:56.716967
15/3/2026,Sunday,BKK,arrival,10:50,TG103,Thai Airways,Duration: 1h 25m,09:25 - 10:50,"373 miles, 600 km",Airbus A320,156,BR 3431 /MH 5619,Meal (none specific),260315_TG103_09251050,text,True,2026-02-14T16:11:56.958657
15/3/2026,Sunday,BKK,arrival,10:50,TG242,Thai Airways,Duration: 1h 25m,09:25 - 10:50,"406 miles, 653 km",Airbus A320,156,BR 3416 /GF 6342 /MH 5837,Meal (none specific),260315_TG242_09251050,text,True,2026-02-14T16:11:57.201565
15/3/2026,Sunday,BKK,arrival,10:50,TR606,Scoot,Duration: 2h 30m,09:20 - 10:50,"884 miles, 1422 km",Boeing 787-8,331,SQ 8544,Meal (none specific),260315_TR606_09201050,text,True,2026-02-14T16:11:57.462191
15/3/2026,Sunday,BKK,arrival,10:55,TG589,Thai Airways,Duration: 1h 5m,09:50 - 10:55,"235 miles, 378 km",Airbus A320,156,TK 8009,Meal (none specific),260315_TG589_09501055,text,True,2026-02-14T16:11:57.710037
15/3/2026,Sunday,BKK,arrival,11:00,9C7419,Spring Airlines,Duration: 3h 0m,09:00 - 11:00,"1066 miles, 1715 km",Airbus A320,180,,Meal (none specific),260315_9C7419_09001100,text,True,2026-02-14T16:11:57.956009
15/3/2026,Sunday,BKK,arrival,11:00,SQ708,Singapore Airlines,Duration: 2h 45m,09:15 - 11:00,"884 miles, 1422 km",Boeing 787,337,AC 5857 /LX 9062 /NZ 3448 /PG 4704 /SK 8019 /VA 5718,Meal (none specific),260315_SQ708_09151100,text,True,2026-02-14T16:11:58.204746
15/3/2026,Sunday,BKK,arrival,11:05,TG587,Thai Airways,Duration: 1h 20m,09:45 - 11:05,"325 miles, 523 km",Airbus A320,156,TK 8013,Meal (none specific),260315_TG587_09451105,text,True,2026-02-14T16:11:58.455626
15/3/2026,Sunday,BKK,arrival,11:10,BR67,EVA Air,Duration: 4h 5m,08:05 - 11:10,"1554 miles, 2500 km",Boeing 777-300ER,333,AI 7053 /TG 6303,Meal (none specific),260315_BR67_08051110,text,True,2026-02-14T16:11:58.713392
15/3/2026,Sunday,BKK,arrival,11:10,ZH309,Shenzhen Airlines,Duration: 3h 0m,09:10 - 11:10,"1062 miles, 1709 km",Airbus A320,162,CA 7989 /TG 6453,Meal (none specific),260315_ZH309_09101110,text,True,2026-02-14T16:11:58.967683
15/3/2026,Sunday,BKK,arrival,11:15,CX717,Cathay Pacific,Duration: 3h 5m,09:10 - 11:15,"1055 miles, 1697 km",Airbus A330-300,286,AY 5849 /OM 5649 /PG 4562 /AA 8891,Meal (none specific),260315_CX717_09101115,text,True,2026-02-14T16:11:59.234824
15/3/2026,Sunday,BKK,arrival,11:15,MF853,XiamenAir,Duration: 3h 35m,08:40 - 11:15,"1365 miles, 2196 km",Boeing 737MAX 8 Passenger,177,PG 4268,Meal (none specific),260315_MF853_08401115,text,True,2026-02-14T16:11:59.478870
15/3/2026,Sunday,BKK,arrival,11:15,OZ743,Asiana,Duration: 6h 5m,07:10 - 11:15,"2291 miles, 3686 km",Airbus A321neo,187,TG 6756,Meal (none specific),260315_OZ743_07101115,text,True,2026-02-14T16:11:59.723900
