arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
BKK,2026-02-13,16:00,PG942,Bangkok Airways,Duration: 2h 15m,"441 miles, 710 km",ATR 42 / ATR 72,70,AY 6948 /CX 6520 /EK 4573 /EY 7747 /GA 9591 /JL 5968 /KL 3986 /LY 8472 /MH 4974 /QF 3449 /QR 4428 /SQ 5482 /TG 7053 /TK 4544,Meal (none specific)
BKK,2026-02-13,16:00,TG917,Thai Airways,Duration: 11h 25m,"5984 miles, 9628 km",Boeing 777-300ER,339,AC 7400 /BR 2228,Meal (none specific)
BKK,2026-02-13,16:00,TR636,Scoot,Duration: 2h 35m,"884 miles, 1422 km",Airbus A320neo,186,SQ 8496,Meal (none specific)
BKK,2026-02-13,16:05,B3700,Bhutan Airlines,Duration: 2h 40m,"1022 miles, 1644 km",Airbus A319,126,,Meal (none specific)
BKK,2026-02-13,16:05,BA2231,British Airways,Duration: 11h 50m,"5980 miles, 9622 km",Boeing 777,267,IB 3603,Meal (none specific)
BKK,2026-02-13,16:05,IX882,Air India Express,Duration: 4h 0m,"1556 miles, 2504 km",Airbus A320neo,180,AI 9071,Meal (none specific)
BKK,2026-02-13,16:05,MH782,Malaysia Airlines,Duration: 2h 15m,"762 miles, 1226 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,8M 9511 /AY 6726 /FY 7486 /PG 4506 /TG 4706,Meal (none specific)
BKK,2026-02-13,16:05,PG138,Bangkok Airways,Duration: 1h 35m,"290 miles, 467 km",ATR 42 / ATR 72,70,BR 3984 /CI 9710 /EK 4429 /EY 7758 /GF 4481 /HX 3860 /KC 1138 /PR 3765 /QF 3473 /QR 4314 /SQ 5386 /TG 5985 /VN 3774,Meal (none specific)
BKK,2026-02-13,16:10,6E1067,IndiGo,Duration: 3h 35m,"1516 miles, 2439 km",Airbus A320neo,180,,Meal (none specific)
BKK,2026-02-13,16:10,QF295,Qantas,Duration: 9h 50m,"4695 miles, 7554 km",Airbus A330-300,279,KL 4893 /LY 8798 /AY 5024 /EK 5053 /PG 4528 /BA 7476,Meal (none specific)
BKK,2026-02-13,16:10,VZ205,Vietjet Thailand,Duration: 1h 10m,"291 miles, 468 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,16:15,TG264,Thai Airways,Duration: 1h 35m,"469 miles, 755 km",Airbus A320,156,GF 6364 /MH 5840 /TK 8478,Meal (none specific)
BKK,2026-02-13,16:20,NH847,ANA,Duration: 7h 15m,"2867 miles, 4613 km",Boeing 787-10,390,TG 6112 /ET 1402,Meal (none specific)
BKK,2026-02-13,16:20,VZ851,Vietjet Thailand,Duration: 6h 10m,"2291 miles, 3686 km",Airbus A321,195,,Meal (none specific)
BKK,2026-02-13,16:20,VZ335,Vietjet Thailand,Duration: 1h 20m,"361 miles, 581 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,16:25,GJ8021,Loong Air,Duration: 4h 50m,"1706 miles, 2745 km",Airbus A320,172,,Meal (none specific)
BKK,2026-02-13,16:25,JL31,JAL,Duration: 7h 0m,"2867 miles, 4613 km",Boeing 777-300ER,244,AA 8433 /PG 4154 /UL 3359 /AS 7335 /HA 5002 /6E 3806,Meal (none specific)
BKK,2026-02-13,16:25,VZ969,Vietjet Thailand,Duration: 2h 5m,"586 miles, 943 km",Boeing 737 Passenger,193,,Meal (none specific)
BKK,2026-02-13,16:30,JX745,Starlux,Duration: 4h 5m,"1554 miles, 2500 km",Airbus A350-900,306,,Meal (none specific)
BKK,2026-02-13,16:30,TG324,Thai Airways,Duration: 4h 0m,"1842 miles, 2964 km",Airbus A320,156,NH 5946,Meal (none specific)
BKK,2026-02-13,16:35,MF833,XiamenAir,Duration: 3h 35m,"1365 miles, 2196 km",Airbus A321neo,208,PG 4266,Meal (none specific)
BKK,2026-02-13,16:35,PG274,Bangkok Airways,Duration: 1h 35m,"420 miles, 676 km",Airbus A320,162,AY 6864 /BA 2177 /BR 3986 /CI 9718 /CX 6516 /EK 4521 /EY 7621 /GF 4479 /HX 3828 /JL 5988 /KC 1274 /LH 4627 /MH 4934 /OS 8682 /PR 3723 /QF 3487 /QR 4378,Meal (none specific)
BKK,2026-02-13,16:35,TG434,Thai Airways,Duration: 3h 30m,"1434 miles, 2307 km",Airbus A330-300,281,GF 6354 /LH 9713,Meal (none specific)
BKK,2026-02-13,16:35,TG613,Thai Airways,Duration: 2h 15m,"806 miles, 1297 km",Boeing 777-200 / 200ER,292,ZH 3656,Meal (none specific)
BKK,2026-02-13,16:35,UO728,HK Express,Duration: 3h 10m,"1055 miles, 1697 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,16:35,VZ105,Vietjet Thailand,Duration: 1h 20m,"373 miles, 600 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,16:40,CA471,Air China,Duration: 3h 20m,"1178 miles, 1895 km",Airbus A321,180,,Meal (none specific)
BKK,2026-02-13,16:40,CX751,Cathay Pacific,Duration: 3h 10m,"1055 miles, 1697 km",Airbus A330-300,286,GF 4061 /OM 5637 /PG 4558 /QR 3472,Meal (none specific)
BKK,2026-02-13,16:40,TG45,Thai Airways,Duration: 1h 0m,"236 miles, 380 km",Airbus A320,156,GF 6345 /MH 5956 /TK 9264,Meal (none specific)
BKK,2026-02-13,16:45,CI835,China Airlines,Duration: 3h 55m,"1554 miles, 2500 km",Airbus A330-300,309,PG 4902,Meal (none specific)
BKK,2026-02-13,16:45,TG111,Thai Airways,Duration: 1h 20m,"373 miles, 600 km",Airbus A320,156,BR 3435 /GF 6381 /MH 5624,Meal (none specific)
BKK,2026-02-13,16:45,VZ133,Vietjet Thailand,Duration: 1h 25m,"439 miles, 706 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,16:50,TG633,Thai Airways,Duration: 3h 55m,"1554 miles, 2500 km",Boeing 777-300ER,339,BR 2221 /LY 8404 /TK 8375,Meal (none specific)
BKK,2026-02-13,16:55,AI2332,Air India,Duration: 4h 20m,"1842 miles, 2964 km",Airbus A320neo,165,,Meal (none specific)
BKK,2026-02-13,16:55,G9816,Air Arabia,Duration: 6h 15m,"3055 miles, 4915 km",Airbus A321,176,,Meal (none specific)
BKK,2026-02-13,17:00,SQ712,Singapore Airlines,Duration: 2h 35m,"884 miles, 1422 km",Airbus A350-900,259,NZ 3452 /PG 4708 /SK 8017 /VA 5722,Meal (none specific)
BKK,2026-02-13,17:00,VN627,Vietnam Airlines,Duration: 1h 45m,"526 miles, 846 km",Airbus A321,184,PG 4288 /SK 8200 /EY 7301,Meal (none specific)
BKK,2026-02-13,17:05,CZ8023,China Southern,Duration: 3h 10m,"1066 miles, 1715 km",Airbus A321neo,198,3U 7073,Meal (none specific)
BKK,2026-02-13,17:05,MF875,XiamenAir,Duration: 3h 55m,"1498 miles, 2410 km",Boeing 737-800 Passenger,172,,Meal (none specific)
BKK,2026-02-13,17:05,TG643,Thai Airways,Duration: 7h 20m,"2905 miles, 4674 km",Airbus A350-900,327,LY 8282 /NH 5955 /TK 8372,Meal (none specific)
BKK,2026-02-13,17:10,TG669,Thai Airways,Duration: 3h 20m,"1066 miles, 1715 km",Airbus A330-300,281,PG 4838 /ZH 3652,Meal (none specific)
BKK,2026-02-13,17:10,TG322,Thai Airways,Duration: 2h 30m,"979 miles, 1575 km",Airbus A330-300,281,PG 4823,Meal (none specific)
BKK,2026-02-13,17:10,VZ107,Vietjet Thailand,Duration: 1h 25m,"373 miles, 600 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,17:15,MU5035,China Eastern,Duration: 3h 10m,"1178 miles, 1895 km",Airbus A320neo,158,,Meal (none specific)
BKK,2026-02-13,17:15,TG629,Thai Airways,Duration: 2h 45m,"1055 miles, 1697 km",Airbus A320,156,GF 6329,Meal (none specific)
BKK,2026-02-13,17:15,TG414,Thai Airways,Duration: 2h 20m,"884 miles, 1422 km",Airbus A321neo,176,PG 4814,Meal (none specific)
BKK,2026-02-13,17:20,3U3935,Sichuan Airlines,Duration: 3h 15m,"1178 miles, 1895 km",Airbus A320,165,CZ 1520,Meal (none specific)
BKK,2026-02-13,17:20,TG619,Thai Airways,Duration: 3h 15m,"1178 miles, 1895 km",Airbus A350-900,327,ZH 3654,Meal (none specific)
BKK,2026-02-13,17:25,TR610,Scoot,Duration: 2h 25m,"884 miles, 1422 km",Airbus A321neo,236,SQ 8558,Meal (none specific)
BKK,2026-02-13,17:30,FD4401,Thai AirAsia,Duration: 1h 25m,"406 miles, 653 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,17:30,KB130,Drukair,Duration: 3h 15m,"1211 miles, 1948 km",Airbus A319,118,,Meal (none specific)
BKK,2026-02-13,17:30,VZ2301,Vietjet Thailand,Duration: 1h 30m,"420 miles, 676 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,17:30,VZ571,Vietjet Thailand,Duration: 4h 0m,"1554 miles, 2500 km",Airbus A320,180,,Meal (none specific)
