arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
DFW,2026-02-13,00:12,F92632,Frontier,2h 6m,"644 miles, 1036 km",Airbus A320neo,186,Y4 2455,Meal (none specific)
DFW,2026-02-13,00:19,DL818,Delta,2h 26m,"733 miles, 1179 km",Airbus A321,212,AF 2621 /KE 7067 /KL 5413 /LA 6313 /SK 3716 /VS 4951 /WS 6499,Meal (none specific)
DFW,2026-02-13,00:20,AA3223,American Airlines,2h 57m,"1209 miles, 1945 km",Boeing 737MAX 8 Passenger,172,AS 4081,Meal (none specific)
DFW,2026-02-13,00:20,NK1149,Spirit,4h 21m,"1394 miles, 2243 km",Airbus A321neo,235,,Meal (none specific)
DFW,2026-02-13,00:31,AA1565,American Airlines,3h 31m,"1126 miles, 1812 km",Boeing 737-800 Passenger,172,AS 4384 /BA 4943,Meal (none specific)
DFW,2026-02-13,00:38,AA1029,American Airlines,3h 1m,"939 miles, 1511 km",Airbus A321,190,AS 6444,Meal (none specific)
DFW,2026-02-13,00:49,AA676,American Airlines,2h 34m,"806 miles, 1297 km",Boeing 737-800 Passenger,172,BA 5173 /EI 7614,Meal (none specific)
DFW,2026-02-13,00:58,AA2860,American Airlines,2h 19m,"870 miles, 1400 km",Airbus A321,190,,Meal (none specific)
DFW,2026-02-13,04:40,AS135,Alaska Airlines,3h 49m,"1667 miles, 2682 km",Boeing 737MAX 9 Passenger,178,DE 5271 /HA 6380 /JX 7032 /KE 6119 /QR 2986 /TN 2314,Meal (none specific)
DFW,2026-02-13,04:50,AA2277,American Airlines,2h 52m,"1192 miles, 1918 km",Airbus A321,190,,Meal (none specific)
DFW,2026-02-13,05:00,AA3168,American Airlines,2h 18m,"870 miles, 1400 km",Boeing 737MAX 8 Passenger,172,,Meal (none specific)
DFW,2026-02-13,05:00,AA799,American Airlines,3h 8m,"1350 miles, 2172 km",Boeing 737-800 Passenger,172,,Meal (none specific)
