arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
DFW,2026-02-14,14:45,AA49,American Airlines,Duration: 10h 40m,"4963 miles, 7985 km",Boeing 787-9,262,AY 3749 /BA 1537 /GF 6649 /IB 4191 /MH 9561 /RJ 7111,Meal (none specific)
DFW,2026-02-14,14:47,AA4818,American Airlines,Duration: 2h 45m,"979 miles, 1575 km",Canadair (Bombardier) Regional Jet 900,75,QR 9395,Meal (none specific)
DFW,2026-02-14,14:49,AA5474,American Airlines,Duration: 1h 14m,"191 miles, 307 km",Canadair (Bombardier) Regional Jet 900,76,BA 1683 /GF 6814 /IB 4793 /QR 7768,Meal (none specific)
DFW,2026-02-14,14:49,AA2302,American Airlines,Duration: 2h 28m,"874 miles, 1406 km",Boeing 737-800 Passenger,172,AY 3722 /QR 9599,Meal (none specific)
DFW,2026-02-14,14:50,AA3830,American Airlines,Duration: 1h 45m,"554 miles, 891 km",Embraer 175,73,AY 4092 /BA 6590 /GF 6510 /IB 4254 /QR 2892,Meal (none specific)
DFW,2026-02-14,14:50,QF21,Qantas,Duration: 15h 45m,"9044 miles, 14552 km",Boeing 787-9,236,AA 7376,Meal (none specific)
DFW,2026-02-14,14:51,AA1670,American Airlines,Duration: 1h 53m,"570 miles, 917 km",Boeing 737-800 Passenger,172,AY 4154 /BA 1654 /GF 4286 /IB 4643 /QF 4734 /QR 8540,Meal (none specific)
DFW,2026-02-14,14:55,AA193,American Airlines,Duration: 11h 15m,"5212 miles, 8386 km",Boeing 787-8,234,AY 3843 /BA 1649 /IB 8215,Meal (none specific)
DFW,2026-02-14,14:55,AA3928,American Airlines,Duration: 1h 51m,"606 miles, 975 km",Embraer 175,73,BA 6662 /QR 9543,Meal (none specific)
DFW,2026-02-14,14:55,F93985,Frontier,Duration: 4h 3m,"1307 miles, 2103 km",Airbus A321,218,Y4 2712,Meal (none specific)
DFW,2026-02-14,14:57,AA413,American Airlines,Duration: 1h 17m,"248 miles, 399 km",Airbus A321,190,AS 4622 /AY 5707 /BA 5562 /GF 4353 /IB 8062 /QR 8765,Meal (none specific)
DFW,2026-02-14,14:58,AA2811,American Airlines,Duration: 3h 13m,"987 miles, 1588 km",Airbus A321,190,AY 5689 /G3 6206 /QF 3124 /QR 8568,Meal (none specific)
DFW,2026-02-14,15:05,AA21,American Airlines,Duration: 10h 30m,"4766 miles, 7668 km",Boeing 787-9,262,AY 3741 /BA 1590 /GF 4188 /IB 4915,Meal (none specific)
DFW,2026-02-14,15:06,AA5270,American Airlines,Duration: 2h 19m,"599 miles, 964 km",Canadair (Bombardier) Regional Jet 900,76,AS 6538 /AY 5703 /BA 1697 /GF 6804 /IB 4107 /QF 3323 /QR 7579,Meal (none specific)
DFW,2026-02-14,15:07,9X408,Southern,Duration: 2h 32m,"322 miles, 518 km",Cessna (Light aircraft-single turboprop engine),9,,Meal (none specific)
DFW,2026-02-14,15:09,AA5383,American Airlines,Duration: 2h 19m,"604 miles, 972 km",Canadair (Bombardier) Regional Jet 700 and Challenger 870,65,AY 5685 /GF 4143 /QF 4322 /QR 7613,Meal (none specific)
DFW,2026-02-14,15:10,AA4161,American Airlines,Duration: 0h 58m,"113 miles, 182 km",Embraer 170,67,AS 6185 /QR 2546,Meal (none specific)
DFW,2026-02-14,15:10,AY19,Finnair,Duration: 10h 40m,"5240 miles, 8431 km",Airbus A350-900,300,AA 9019 /BA 6053 /IB 6450,Meal (none specific)
DFW,2026-02-14,15:10,LF3007,Contour Aviation,Duration: 1h 55m,"487 miles, 784 km",Embraer RJ135 / RJ140 / RJ145,39,,Meal (none specific)
DFW,2026-02-14,15:10,QR729,Qatar Airways,Duration: 16h 10m,"7963 miles, 12812 km",Airbus A350-1000,354,MH 9077 /UL 3172 /WB 1068 /WY 6154,Meal (none specific)
DFW,2026-02-14,15:12,AA4090,American Airlines,Duration: 2h 9m,"738 miles, 1187 km",Embraer 170,67,,Meal (none specific)
DFW,2026-02-14,15:15,DL921,Delta,Duration: 2h 25m,"733 miles, 1179 km",Airbus A321,212,KE 6881 /LA 7167,Meal (none specific)
DFW,2026-02-14,15:16,AA5118,American Airlines,Duration: 2h 32m,"687 miles, 1105 km",Canadair (Bombardier) Regional Jet 900,76,QR 9016,Meal (none specific)
DFW,2026-02-14,15:18,AA781,American Airlines,Duration: 2h 30m,"870 miles, 1400 km",Boeing 737-800 Passenger,172,AY 5699 /BA 6881 /GF 6890 /IB 4015 /QR 7877,Meal (none specific)
DFW,2026-02-14,15:19,DL803,Delta,Duration: 3h 54m,"1667 miles, 2682 km",Airbus A220-100,109,,Meal (none specific)
DFW,2026-02-14,15:24,AA778,American Airlines,Duration: 3h 59m,"1307 miles, 2103 km",Boeing 737-800 Passenger,172,G3 6133 /QF 4107,Meal (none specific)
DFW,2026-02-14,15:26,AA3032,American Airlines,Duration: 2h 12m,"725 miles, 1167 km",Airbus A319,128,QR 2672,Meal (none specific)
DFW,2026-02-14,15:26,AA1304,American Airlines,Duration: 2h 45m,"1029 miles, 1656 km",Boeing 737MAX 8 Passenger,172,AY 3717 /BA 5643 /QR 9231,Meal (none specific)
DFW,2026-02-14,15:27,AA390,American Airlines,Duration: 2h 57m,"943 miles, 1517 km",Boeing 737-800 Passenger,172,AY 3710 /BA 4898 /IB 8056 /QF 4410 /QR 2701,Meal (none specific)
DFW,2026-02-14,15:32,AA1068,American Airlines,Duration: 3h 21m,"1036 miles, 1667 km",Airbus A321neo,183,IB 4651 /QR 7678,Meal (none specific)
DFW,2026-02-14,15:33,AA6315,American Airlines,Duration: 2h 16m,"677 miles, 1089 km",Canadair (Bombardier) Regional Jet 700 and Challenger 870,66,QF 4487 /QR 7615,Meal (none specific)
DFW,2026-02-14,15:33,AA3798,American Airlines,Duration: 1h 21m,"282 miles, 454 km",Embraer 175,73,BA 4816 /GF 6825 /IB 8190 /QF 3133 /QR 8637,Meal (none specific)
